StartDate,open
2021-02-03,117.3
2021-02-04,117.01
2021-02-05,126.19
2021-02-06,126.19
2021-02-07,126.19
2021-02-08,117.0
2021-02-09,115.35
2021-02-10,116.34
2021-02-11,116.34
2021-02-12,116.34
2021-02-13,116.34
2021-02-14,116.34
2021-02-15,116.34
2021-02-16,116.34
2021-02-17,116.34
2021-02-18,110.29
2021-02-19,114.5
2021-02-20,114.5
2021-02-21,114.5
2021-02-22,110.0
2021-02-23,107.2
2021-02-24,109.5
2021-02-25,108.07
2021-02-26,110.0
2021-02-27,110.0
2021-02-28,110.0
2021-03-01,108.87
2021-03-02,107.0
2021-03-03,108.72
2021-03-04,114.76
2021-03-05,111.96
2021-03-06,111.96
2021-03-07,111.96
2021-03-08,120.92
2021-03-09,111.26
2021-03-10,101.7
2021-03-11,96.51
2021-03-12,99.76
2021-03-13,99.76
2021-03-14,99.76
2021-03-15,99.5
2021-03-16,96.9
2021-03-17,99.75
2021-03-18,99.48
2021-03-19,103.34
2021-03-20,103.34
2021-03-21,103.34
2021-03-22,103.55
2021-03-23,106.1
2021-03-24,105.03
2021-03-25,104.67
2021-03-26,108.48
2021-03-27,108.48
2021-03-28,108.48
2021-03-29,108.29
2021-03-30,111.21
2021-03-31,111.0
2021-04-01,112.5
2021-04-02,112.3
2021-04-03,112.3
2021-04-04,112.3
2021-04-05,112.3
2021-04-06,111.1
2021-04-07,112.9
2021-04-08,113.13
2021-04-09,114.63
2021-04-10,114.63
2021-04-11,114.63
2021-04-12,115.42
2021-04-13,112.7
2021-04-14,114.02
2021-04-15,116.19
2021-04-16,113.3
2021-04-17,113.3
2021-04-18,113.3
2021-04-19,117.75
2021-04-20,114.35
2021-04-21,114.51
2021-04-22,112.75
2021-04-23,116.14
2021-04-24,116.14
2021-04-25,116.14
2021-04-26,116.0
2021-04-27,120.37
2021-04-28,114.0
2021-04-29,114.21
2021-04-30,109.93
2021-05-01,109.93
2021-05-02,109.93
2021-05-03,109.93
2021-05-04,109.93
2021-05-05,109.93
2021-05-06,109.34
2021-05-07,107.85
2021-05-08,107.85
2021-05-09,107.85
2021-05-10,106.94
2021-05-11,102.0
2021-05-12,98.61
2021-05-13,95.85
2021-05-14,91.55
2021-05-15,91.55
2021-05-16,91.55
2021-05-17,90.0
2021-05-18,91.31
2021-05-19,98.0
2021-05-20,99.4
2021-05-21,104.35
2021-05-22,104.35
2021-05-23,104.35
2021-05-24,101.63
2021-05-25,104.14
2021-05-26,103.24
2021-05-27,106.27
2021-05-28,102.3
2021-05-29,102.3
2021-05-30,102.3
2021-05-31,104.0
2021-06-01,101.98
2021-06-02,101.58
2021-06-03,100.49
2021-06-04,99.26
2021-06-05,99.26
2021-06-06,99.26
2021-06-07,100.96
